// This is the correct ugly numbers list

The 1 'th ugly number is 1.
The 2 'th ugly number is 2.
The 3 'th ugly number is 3.
The 4 'th ugly number is 4.
The 5 'th ugly number is 5.
The 6 'th ugly number is 6.
The 7 'th ugly number is 8.
The 8 'th ugly number is 9.
The 9 'th ugly number is 10.
The 10 'th ugly number is 12.
The 11 'th ugly number is 15.
The 12 'th ugly number is 16.
The 13 'th ugly number is 18.
The 14 'th ugly number is 20.
The 15 'th ugly number is 24.
The 16 'th ugly number is 25.
The 17 'th ugly number is 27.
The 18 'th ugly number is 30.
The 19 'th ugly number is 32.
The 20 'th ugly number is 36.
The 21 'th ugly number is 40.
The 22 'th ugly number is 45.
The 23 'th ugly number is 48.
The 24 'th ugly number is 50.
The 25 'th ugly number is 54.
The 26 'th ugly number is 60.
The 27 'th ugly number is 64.
The 28 'th ugly number is 72.
The 29 'th ugly number is 75.
The 30 'th ugly number is 80.
The 31 'th ugly number is 81.
The 32 'th ugly number is 90.
The 33 'th ugly number is 96.
The 34 'th ugly number is 100.
The 35 'th ugly number is 108.
The 36 'th ugly number is 120.
The 37 'th ugly number is 125.
The 38 'th ugly number is 128.
The 39 'th ugly number is 135.
The 40 'th ugly number is 144.
The 41 'th ugly number is 150.
The 42 'th ugly number is 160.
The 43 'th ugly number is 162.
The 44 'th ugly number is 180.
The 45 'th ugly number is 192.
The 46 'th ugly number is 200.
The 47 'th ugly number is 216.
The 48 'th ugly number is 225.
The 49 'th ugly number is 240.
The 50 'th ugly number is 243.
The 51 'th ugly number is 250.
The 52 'th ugly number is 256.
The 53 'th ugly number is 270.
The 54 'th ugly number is 288.
The 55 'th ugly number is 300.
The 56 'th ugly number is 320.
The 57 'th ugly number is 324.
The 58 'th ugly number is 360.
The 59 'th ugly number is 375.
The 60 'th ugly number is 384.
The 61 'th ugly number is 400.
The 62 'th ugly number is 405.
The 63 'th ugly number is 432.
The 64 'th ugly number is 450.
The 65 'th ugly number is 480.
The 66 'th ugly number is 486.
The 67 'th ugly number is 500.
The 68 'th ugly number is 512.
The 69 'th ugly number is 540.
The 70 'th ugly number is 576.
The 71 'th ugly number is 600.
The 72 'th ugly number is 625.
The 73 'th ugly number is 640.
The 74 'th ugly number is 648.
The 75 'th ugly number is 675.
The 76 'th ugly number is 720.
The 77 'th ugly number is 729.
The 78 'th ugly number is 750.
The 79 'th ugly number is 768.
The 80 'th ugly number is 800.
The 81 'th ugly number is 810.
The 82 'th ugly number is 864.
The 83 'th ugly number is 900.
The 84 'th ugly number is 960.
The 85 'th ugly number is 972.
The 86 'th ugly number is 1000.
The 87 'th ugly number is 1024.
The 88 'th ugly number is 1080.
The 89 'th ugly number is 1125.
The 90 'th ugly number is 1152.
The 91 'th ugly number is 1200.
The 92 'th ugly number is 1215.
The 93 'th ugly number is 1250.
The 94 'th ugly number is 1280.
The 95 'th ugly number is 1296.
The 96 'th ugly number is 1350.
The 97 'th ugly number is 1440.
The 98 'th ugly number is 1458.
The 99 'th ugly number is 1500.
The 100 'th ugly number is 1536.
The 101 'th ugly number is 1600.
The 102 'th ugly number is 1620.
The 103 'th ugly number is 1728.
The 104 'th ugly number is 1800.
The 105 'th ugly number is 1875.
The 106 'th ugly number is 1920.
The 107 'th ugly number is 1944.
The 108 'th ugly number is 2000.
The 109 'th ugly number is 2025.
The 110 'th ugly number is 2048.
The 111 'th ugly number is 2160.
The 112 'th ugly number is 2187.
The 113 'th ugly number is 2250.
The 114 'th ugly number is 2304.
The 115 'th ugly number is 2400.
The 116 'th ugly number is 2430.
The 117 'th ugly number is 2500.
The 118 'th ugly number is 2560.
The 119 'th ugly number is 2592.
The 120 'th ugly number is 2700.
The 121 'th ugly number is 2880.
The 122 'th ugly number is 2916.
The 123 'th ugly number is 3000.
The 124 'th ugly number is 3072.
The 125 'th ugly number is 3125.
The 126 'th ugly number is 3200.
The 127 'th ugly number is 3240.
The 128 'th ugly number is 3375.
The 129 'th ugly number is 3456.
The 130 'th ugly number is 3600.
The 131 'th ugly number is 3645.
The 132 'th ugly number is 3750.
The 133 'th ugly number is 3840.
The 134 'th ugly number is 3888.
The 135 'th ugly number is 4000.
The 136 'th ugly number is 4050.
The 137 'th ugly number is 4096.
The 138 'th ugly number is 4320.
The 139 'th ugly number is 4374.
The 140 'th ugly number is 4500.
The 141 'th ugly number is 4608.
The 142 'th ugly number is 4800.
The 143 'th ugly number is 4860.
The 144 'th ugly number is 5000.
The 145 'th ugly number is 5120.
The 146 'th ugly number is 5184.
The 147 'th ugly number is 5400.
The 148 'th ugly number is 5625.
The 149 'th ugly number is 5760.
The 150 'th ugly number is 5832.
The 151 'th ugly number is 6000.
The 152 'th ugly number is 6075.
The 153 'th ugly number is 6144.
The 154 'th ugly number is 6250.
The 155 'th ugly number is 6400.
The 156 'th ugly number is 6480.
The 157 'th ugly number is 6561.
The 158 'th ugly number is 6750.
The 159 'th ugly number is 6912.
The 160 'th ugly number is 7200.
